,accuracy,batch_run,dataset,f1,f1_mean,f1_std,logloss,model,n_total_train,seed_initialization_run,selector,test_base_rate,test_positives,test_size,train_base_rate,train_fraction,train_positives,train_size
12,0.934,2,skewed_sklearn_10_to_1,0.6796116504854369,0.6796116504854369,,0.1965621580350422,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.13380281690140844,0.142,19.0,142.0
13,0.932,2,skewed_sklearn_10_to_1,0.6730769230769231,0.6730769230769231,,0.19939543648459782,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.13157894736842105,0.152,20.0,152.0
14,0.936,2,skewed_sklearn_10_to_1,0.6831683168316831,0.6831683168316831,,0.19686471273755313,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.12345679012345678,0.162,20.0,162.0
15,0.931,2,skewed_sklearn_10_to_1,0.6698564593301435,0.6698564593301435,,0.19312472221478713,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.12209302325581395,0.172,21.0,172.0
16,0.935,2,skewed_sklearn_10_to_1,0.6859903381642513,0.6859903381642513,,0.1916971022416665,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.12637362637362637,0.182,23.0,182.0
17,0.935,2,skewed_sklearn_10_to_1,0.6829268292682926,0.6829268292682926,,0.19248518200201287,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11979166666666667,0.192,23.0,192.0
18,0.937,2,skewed_sklearn_10_to_1,0.6896551724137931,0.6896551724137931,,0.19126245603050215,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.1188118811881188,0.202,24.0,202.0
19,0.937,2,skewed_sklearn_10_to_1,0.6896551724137931,0.6896551724137931,,0.19139764901859121,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11320754716981132,0.212,24.0,212.0
20,0.937,2,skewed_sklearn_10_to_1,0.6896551724137931,0.6896551724137931,,0.19130195418855078,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.10810810810810811,0.222,24.0,222.0
21,0.938,2,skewed_sklearn_10_to_1,0.6930693069306932,0.6930693069306932,,0.18082242469754878,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11206896551724138,0.232,26.0,232.0
22,0.943,2,skewed_sklearn_10_to_1,0.7015706806282722,0.7015706806282722,,0.17973308080019829,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.1115702479338843,0.242,27.0,242.0
23,0.94,2,skewed_sklearn_10_to_1,0.6808510638297872,0.6808510638297872,,0.18116746891353025,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11507936507936507,0.252,29.0,252.0
24,0.945,2,skewed_sklearn_10_to_1,0.708994708994709,0.708994708994709,,0.1763615352590598,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.1183206106870229,0.262,31.0,262.0
25,0.944,2,skewed_sklearn_10_to_1,0.7083333333333333,0.7083333333333333,,0.17513761148897275,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11397058823529412,0.272,31.0,272.0
26,0.952,2,skewed_sklearn_10_to_1,0.7419354838709676,0.7419354838709676,,0.17386267271190076,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11347517730496454,0.282,32.0,282.0
27,0.952,2,skewed_sklearn_10_to_1,0.7419354838709676,0.7419354838709676,,0.17281420906366343,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.1095890410958904,0.292,32.0,292.0
28,0.948,2,skewed_sklearn_10_to_1,0.7234042553191489,0.7234042553191489,,0.16348698294749583,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11258278145695365,0.302,34.0,302.0
29,0.948,2,skewed_sklearn_10_to_1,0.7234042553191489,0.7234042553191489,,0.16606460173976545,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11217948717948718,0.312,35.0,312.0
30,0.947,2,skewed_sklearn_10_to_1,0.7195767195767195,0.7195767195767195,,0.16524757845574767,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.11801242236024845,0.322,38.0,322.0
